days_after_default,recovered_amount,recovery_rate,cohort
0,0.0,0.0,2025Q1
30,289700.39999999997,0.18082640198145514,2025Q1
60,502224.72000000003,0.3134807169881152,2025Q1
90,683460.39,0.4266051521521617,2025Q1
120,895119.28,0.5587192794577802,2025Q1
180,1046429.4699999999,0.6531647039060389,2025Q1
360,1222911.95,0.7633222731436518,2025Q1
0,0.0,0.0,2025Q2
30,886596.4199999999,0.14714062474156725,2025Q2
60,1734007.96,0.28777807893838614,2025Q2
90,2568374.0,0.42625048602158583,2025Q2
120,3360096.4699999997,0.5576457141432342,2025Q2
180,4014276.75,0.6662142724200806,2025Q2
360,4480592.720000001,0.7436046403540838,2025Q2
0,0.0,0.0,2025Q3
30,1444631.43,0.17945869330016564,2025Q3
60,2565326.87,0.3186765831185079,2025Q3
90,3568052.4800000004,0.4432397235654879,2025Q3
120,4500647.65,0.5590909414683448,2025Q3
180,5407790.72,0.6717803836318043,2025Q3
360,5780303.08,0.7180555649517627,2025Q3
0,0.0,0.0,2025Q4
30,1756115.25,0.1544386104915582,2025Q4
60,3408560.75,0.2997601586832433,2025Q4
90,5001158.369999999,0.4398184854388264,2025Q4
120,6330285.83,0.5567063708373355,2025Q4
180,7487496.32,0.6584753066300492,2025Q4
360,7487496.32,0.6584753066300492,2025Q4
0,0.0,0.0,2026Q1
30,2306867.96,0.16309282727748672,2026Q1
60,4312704.1899999995,0.3049030684697546,2026Q1
90,6032584.470000001,0.4264965633328051,2026Q1
120,7696654.0,0.544144304399883,2026Q1
180,8729512.46,0.6171661718581624,2026Q1
360,8729512.46,0.6171661718581624,2026Q1
0,0.0,0.0,2026Q2
30,3110357.5,0.16731756441143442,2026Q2
60,5856126.01,0.3150225467264298,2026Q2
90,7452185.040000001,0.4008804294799322,2026Q2
120,7971577.15,0.42882044049786683,2026Q2
180,7971577.15,0.42882044049786683,2026Q2
360,7971577.15,0.42882044049786683,2026Q2
0,0.0,0.0,2026Q3
30,881071.4900000001,0.10641017830070292,2026Q3
60,881071.4900000001,0.10641017830070292,2026Q3
90,881071.4900000001,0.10641017830070292,2026Q3
120,881071.4900000001,0.10641017830070292,2026Q3
180,881071.4900000001,0.10641017830070292,2026Q3
360,881071.4900000001,0.10641017830070292,2026Q3
