contract_id,customer_id,product,origination_date,contract_value,term_months,installment_value
C000001,104404,Vehicle Finance,2026-01-04,45369.31,52,872.49
C000002,107643,Personal Loan,2025-10-11,3971.13,17,233.6
C000003,104626,Personal Loan,2026-01-09,6146.44,23,267.24
C000004,109420,Credit Card,2026-05-30,6081.11,8,760.14
C000005,108653,Payroll Loan,2025-02-11,14754.94,36,409.86
C000006,108467,Credit Card,2025-04-09,5838.69,15,389.25
C000007,107137,Credit Card,2026-06-01,3560.57,8,445.07
C000008,109371,Payroll Loan,2025-04-30,9910.69,34,291.49
C000009,103404,Credit Card,2025-09-24,5038.58,23,219.07
C000010,100832,Personal Loan,2025-07-25,3133.55,35,89.53
C000011,105260,Credit Card,2026-03-29,3051.64,23,132.68
C000012,103557,Personal Loan,2025-05-13,3307.58,35,94.5
C000013,100729,Vehicle Finance,2025-03-26,39149.64,25,1565.99
C000014,102376,Vehicle Finance,2025-01-21,38843.98,46,844.43
C000015,100564,Payroll Loan,2025-06-19,20437.69,26,786.06
C000016,100976,Personal Loan,2026-05-06,7815.05,17,459.71
C000017,107998,Payroll Loan,2026-04-08,14807.89,34,435.53
C000018,102364,Personal Loan,2025-01-29,4307.9,32,134.62
C000019,105387,Vehicle Finance,2026-06-18,31872.21,35,910.63
C000020,106412,Payroll Loan,2025-07-19,5938.0,23,258.17
C000021,103033,Vehicle Finance,2025-03-15,25236.47,39,647.09
C000022,104835,Credit Card,2025-02-22,5910.49,21,281.45
C000023,104658,Payroll Loan,2025-06-09,7617.69,12,634.81
C000024,109091,Personal Loan,2025-07-09,9104.88,21,433.57
C000025,109573,Personal Loan,2025-12-15,5328.6,31,171.89
C000026,101326,Credit Card,2025-03-01,5651.38,10,565.14
C000027,107122,Vehicle Finance,2025-10-07,50779.98,34,1493.53
C000028,106832,Vehicle Finance,2025-03-02,44390.62,26,1707.33
C000029,109461,Credit Card,2025-12-06,4653.37,9,517.04
C000030,105878,Payroll Loan,2025-12-17,10002.46,12,833.54
C000031,104368,Vehicle Finance,2026-01-10,37398.2,50,747.96
C000032,107407,Personal Loan,2025-08-30,8103.65,19,426.51
C000033,106855,Credit Card,2025-08-19,5115.19,14,365.37
C000034,104684,Credit Card,2025-05-29,2946.17,8,368.27
C000035,107157,Credit Card,2026-05-21,2308.85,17,135.81
C000036,100352,Payroll Loan,2026-06-06,7871.1,13,605.47
C000037,109456,Personal Loan,2025-02-26,5632.05,18,312.89
C000038,103920,Credit Card,2026-06-14,9739.01,14,695.64
C000039,103004,Personal Loan,2025-10-30,5649.06,19,297.32
C000040,102115,Personal Loan,2025-12-01,7068.65,13,543.74
C000041,101279,Credit Card,2026-01-05,3790.65,15,252.71
C000042,103086,Personal Loan,2025-04-22,8244.38,26,317.09
C000043,100184,Personal Loan,2026-05-30,11462.75,18,636.82
C000044,102245,Vehicle Finance,2026-05-24,41829.67,24,1742.9
C000045,107043,Vehicle Finance,2025-08-12,29099.55,56,519.63
C000046,106342,Personal Loan,2025-07-19,4260.0,21,202.86
C000047,104904,Vehicle Finance,2026-05-07,30515.07,32,953.6
C000048,109229,Vehicle Finance,2025-09-22,46074.21,29,1588.77
C000049,107610,Credit Card,2025-05-29,4965.5,17,292.09
C000050,101473,Vehicle Finance,2026-02-07,114000.0,57,2000.0
C000051,105576,Personal Loan,2025-01-09,6650.54,36,184.74
C000052,103885,Credit Card,2026-02-09,7943.09,18,441.28
C000053,104783,Payroll Loan,2025-12-26,6746.22,26,259.47
C000054,102860,Credit Card,2025-09-08,10279.21,6,1713.2
