customer_id,age,income,region,risk_score,risk_band
100001,25,2478.37,SP,0.4334,MEDIUM
100002,59,3238.96,RS,0.1445,LOW
100003,53,4785.76,SP,0.3441,LOW
100004,42,3106.48,BA,0.1326,LOW
100005,42,3674.69,SP,0.2035,LOW
100006,63,5191.05,SP,0.4774,MEDIUM
100007,25,3552.58,SP,0.2117,LOW
100008,55,4681.38,RS,0.1035,LOW
100009,31,9021.35,SP,0.3666,MEDIUM
100010,25,3867.44,SP,0.6889,HIGH
100011,47,7397.68,SP,0.4175,MEDIUM
100012,69,5493.59,RJ,0.1615,LOW
100013,57,2076.76,PE,0.3431,LOW
100014,59,2474.55,MG,0.1974,LOW
100015,56,2814.99,SP,0.2698,LOW
100016,60,2786.44,SP,0.3183,LOW
100017,46,4021.86,SP,0.2654,LOW
100018,27,5641.3,RJ,0.6571,HIGH
100019,62,7671.87,SP,0.2988,LOW
100020,43,4869.58,SP,0.4931,MEDIUM
100021,46,3391.11,SP,0.2714,LOW
100022,39,1545.9,RJ,0.611,MEDIUM
100023,30,4344.75,RS,0.269,LOW
100024,67,4252.28,SP,0.2404,LOW
100025,60,4585.46,SC,0.4225,MEDIUM
100026,53,11543.01,PR,0.3678,MEDIUM
100027,41,7618.43,PE,0.3939,MEDIUM
100028,62,6122.15,SP,0.0532,LOW
100029,48,2646.63,BA,0.7121,HIGH
100030,43,3283.29,BA,0.3892,MEDIUM
100031,43,4013.08,PE,0.7037,HIGH
100032,32,2894.72,BA,0.5128,MEDIUM
100033,25,5340.44,SP,0.3259,LOW
100034,48,4984.84,PE,0.2297,LOW
100035,65,2491.03,BA,0.15,LOW
100036,24,7460.01,SP,0.8078,HIGH
100037,63,4411.41,SP,0.5571,MEDIUM
100038,62,1831.49,PE,0.7083,HIGH
100039,34,4097.76,SP,0.5172,MEDIUM
100040,52,4806.95,RS,0.463,MEDIUM
100041,29,6699.45,RJ,0.1321,LOW
100042,58,3571.89,RS,0.6635,HIGH
100043,56,6249.46,SP,0.5456,MEDIUM
100044,38,4594.74,RS,0.579,MEDIUM
100045,24,2234.14,MG,0.1973,LOW
100046,69,2129.32,PE,0.6814,HIGH
100047,43,7198.79,SP,0.9232,HIGH
100048,65,7457.03,SP,0.769,HIGH
100049,54,4904.15,SP,0.9439,HIGH
100050,59,8610.86,SP,0.4134,MEDIUM
100051,58,6974.48,PE,0.632,MEDIUM
100052,30,5831.22,SP,0.2284,LOW
100053,39,2711.91,SP,0.7793,HIGH
100054,44,9642.4,BA,0.5244,MEDIUM
100055,45,5433.1,SP,0.3473,LOW
100056,23,3489.93,SP,0.6462,MEDIUM
100057,48,3047.48,SC,0.4039,MEDIUM
100058,28,4750.93,RJ,0.3589,MEDIUM
100059,58,1883.21,BA,0.5068,MEDIUM
100060,55,5876.3,SC,0.2072,LOW
100061,67,2657.46,SP,0.5335,MEDIUM
100062,58,5017.72,PR,0.3094,LOW
100063,39,3269.73,BA,0.2476,LOW
100064,69,3699.37,RJ,0.5387,MEDIUM
100065,41,2920.54,RS,0.6708,HIGH
100066,37,3887.22,RJ,0.6021,MEDIUM
100067,66,10401.88,PR,0.4074,MEDIUM
100068,39,8165.46,RS,0.4605,MEDIUM
100069,24,4979.03,SP,0.5199,MEDIUM
100070,44,4149.32,MG,0.378,MEDIUM
100071,60,6298.43,SP,0.4335,MEDIUM
100072,30,7224.44,RS,0.3327,LOW
100073,44,2820.1,PR,0.8005,HIGH
100074,27,4046.75,RJ,0.3621,MEDIUM
100075,55,1751.63,SP,0.2906,LOW
100076,44,7200.67,PE,0.306,LOW
100077,37,11316.89,RJ,0.1357,LOW
100078,32,4364.59,SP,0.6073,MEDIUM
100079,49,1514.49,SP,0.2681,LOW
100080,54,5625.74,PR,0.5581,MEDIUM
100081,68,2721.33,SP,0.5875,MEDIUM
100082,42,3054.69,BA,0.6858,HIGH
100083,29,5673.7,SC,0.3609,MEDIUM
100084,62,4745.85,SP,0.3287,LOW
100085,52,3322.75,PR,0.3521,MEDIUM
100086,56,3074.9,SP,0.2288,LOW
100087,25,4461.5,SP,0.1917,LOW
100088,36,3450.58,PR,0.7455,HIGH
100089,59,2466.13,SP,0.6704,HIGH
100090,62,3580.33,PE,0.1397,LOW
100091,42,4943.58,PR,0.5915,MEDIUM
100092,61,3855.86,SP,0.6802,HIGH
100093,63,2131.02,PE,0.7263,HIGH
100094,40,6751.98,PR,0.2254,LOW
100095,65,1400.0,SP,0.4984,MEDIUM
100096,35,3390.0,MG,0.2845,LOW
100097,32,3118.62,PE,0.3072,LOW
100098,55,4509.61,MG,0.3003,LOW
100099,52,5499.64,MG,0.1151,LOW
100100,27,7213.34,MG,0.4247,MEDIUM
100101,62,2983.6,SP,0.4501,MEDIUM
100102,30,5565.82,SP,0.4357,MEDIUM
100103,61,4613.92,PR,0.5672,MEDIUM
100104,21,1846.97,PE,0.6802,HIGH
100105,60,10457.76,RS,0.08,LOW
100106,60,2105.33,SP,0.1946,LOW
100107,60,5136.87,RJ,0.2083,LOW
100108,54,5064.55,SP,0.7376,HIGH
100109,44,4794.12,RJ,0.5136,MEDIUM
100110,56,3312.45,SC,0.5086,MEDIUM
100111,34,6247.4,SP,0.3957,MEDIUM
100112,60,1985.97,BA,0.0958,LOW
100113,48,4069.36,MG,0.5323,MEDIUM
100114,43,3204.08,SC,0.4117,MEDIUM
100115,46,3034.3,PE,0.1568,LOW
100116,49,5159.73,SC,0.3064,LOW
100117,22,7044.69,PE,0.1802,LOW
100118,27,3562.0,BA,0.5411,MEDIUM
100119,33,6109.3,PR,0.3362,LOW
100120,26,4301.48,SP,0.456,MEDIUM
100121,42,2736.21,SP,0.5323,MEDIUM
100122,54,3710.87,BA,0.1915,LOW
100123,53,3637.63,SP,0.1192,LOW
100124,44,3006.23,PE,0.1057,LOW
100125,63,5159.07,RJ,0.5254,MEDIUM
100126,49,4700.72,RS,0.6968,HIGH
100127,24,1957.31,RJ,0.4757,MEDIUM
100128,59,1900.95,PE,0.2523,LOW
100129,49,5149.67,SP,0.513,MEDIUM
100130,52,2839.84,RJ,0.0817,LOW
100131,49,4855.27,BA,0.3102,LOW
100132,48,6110.03,SP,0.6919,HIGH
100133,25,2281.94,SP,0.2959,LOW
100134,48,2133.04,PE,0.4763,MEDIUM
100135,60,9382.18,BA,0.8532,HIGH
100136,36,4972.08,SP,0.189,LOW
100137,51,3434.42,PR,0.731,HIGH
100138,22,2682.62,SP,0.3373,LOW
100139,38,3287.32,SP,0.2651,LOW
100140,42,2371.71,PR,0.1629,LOW
100141,70,6418.1,SP,0.4998,MEDIUM
100142,31,2892.86,MG,0.1321,LOW
100143,34,7099.19,SP,0.1089,LOW
100144,41,3465.24,BA,0.227,LOW
100145,70,2545.37,PR,0.5459,MEDIUM
100146,63,3422.8,SP,0.2959,LOW
100147,22,1400.0,PE,0.244,LOW
100148,32,3963.45,BA,0.6277,MEDIUM
100149,62,3870.67,SP,0.0953,LOW
100150,23,6239.88,PE,0.6719,HIGH
100151,63,1698.35,SP,0.4009,MEDIUM
100152,35,7335.9,SP,0.3304,LOW
100153,66,6227.48,RJ,0.2051,LOW
100154,35,7660.41,SP,0.4231,MEDIUM
100155,42,4095.05,SC,0.1898,LOW
100156,54,6832.94,PR,0.632,MEDIUM
100157,27,2072.77,PE,0.051,LOW
100158,48,5914.15,SP,0.2387,LOW
100159,46,2900.63,SP,0.274,LOW
100160,60,1901.06,RJ,0.471,MEDIUM
100161,70,2448.55,SP,0.7888,HIGH
100162,54,4211.17,PE,0.1432,LOW
100163,41,2827.58,RS,0.1478,LOW
100164,41,5030.9,BA,0.2868,LOW
100165,41,1763.2,RS,0.4152,MEDIUM
100166,61,1512.97,SP,0.4258,MEDIUM
100167,37,8115.94,SP,0.3778,MEDIUM
100168,29,6481.22,MG,0.4814,MEDIUM
100169,37,2538.12,BA,0.4515,MEDIUM
100170,22,4193.96,RJ,0.2419,LOW
100171,26,6851.37,SP,0.1062,LOW
100172,25,5136.13,SC,0.3991,MEDIUM
100173,59,4509.7,SP,0.4918,MEDIUM
100174,57,7104.71,PR,0.6157,MEDIUM
100175,55,2957.49,SP,0.4214,MEDIUM
100176,44,4263.33,MG,0.2016,LOW
100177,56,4164.17,RJ,0.5421,MEDIUM
100178,29,3684.59,PE,0.0807,LOW
100179,66,3483.29,RS,0.6775,HIGH
100180,46,4349.5,SP,0.6111,MEDIUM
100181,67,4269.94,RS,0.4937,MEDIUM
100182,28,2539.18,BA,0.0858,LOW
100183,45,6171.53,SC,0.5896,MEDIUM
100184,55,2628.52,PE,0.6671,HIGH
100185,45,3782.3,BA,0.4453,MEDIUM
100186,43,3644.98,SP,0.4944,MEDIUM
100187,29,4987.7,RJ,0.088,LOW
100188,40,1518.79,RJ,0.7751,HIGH
100189,32,6441.24,MG,0.4499,MEDIUM
100190,36,3034.75,PE,0.2513,LOW
100191,55,7543.35,PR,0.2365,LOW
100192,52,3338.65,RJ,0.2715,LOW
100193,51,4102.68,PE,0.5076,MEDIUM
100194,39,10524.46,SC,0.2545,LOW
100195,68,3676.5,SP,0.3674,MEDIUM
100196,25,7612.05,PE,0.4523,MEDIUM
100197,38,4279.46,RJ,0.3808,MEDIUM
100198,26,5126.82,MG,0.3953,MEDIUM
100199,37,4343.43,MG,0.7842,HIGH
100200,69,6309.48,PE,0.599,MEDIUM
100201,39,3022.33,SP,0.8268,HIGH
100202,66,2618.87,RJ,0.1029,LOW
100203,45,3091.23,SC,0.1691,LOW
100204,55,4405.9,PE,0.5067,MEDIUM
100205,43,3777.61,SP,0.4511,MEDIUM
100206,34,5906.28,SP,0.7422,HIGH
100207,59,7856.61,PE,0.2831,LOW
100208,69,2629.21,RS,0.3075,LOW
100209,34,2952.9,RJ,0.4949,MEDIUM
100210,59,2107.89,RJ,0.3536,MEDIUM
100211,34,11130.22,MG,0.6364,MEDIUM
100212,56,4861.4,SC,0.871,HIGH
100213,60,5287.73,PR,0.268,LOW
100214,43,2207.33,RS,0.3194,LOW
100215,57,4197.64,SP,0.0812,LOW
100216,34,5363.0,BA,0.2057,LOW
100217,24,3720.14,SP,0.1189,LOW
100218,25,7038.7,PE,0.4584,MEDIUM
100219,43,12740.21,SP,0.4768,MEDIUM
100220,66,2665.77,SP,0.1042,LOW
100221,27,2571.48,SP,0.631,MEDIUM
100222,43,2755.95,SP,0.473,MEDIUM
100223,56,9079.87,RJ,0.8307,HIGH
100224,31,6926.92,SC,0.3297,LOW
