installment_id,contract_id,installment_number,due_date,installment_value,payment_date,paid_value,days_past_due,status
I00000001,C000001,1,2026-02-10,872.49,2026-02-10,872.49,0,PAID
I00000002,C000001,2,2026-03-10,872.49,2026-03-12,872.49,2,LATE
I00000003,C000001,3,2026-04-10,872.49,,0.0,100,DEFAULT
I00000004,C000001,4,2026-05-10,872.49,,0.0,101,DEFAULT
I00000005,C000001,5,2026-06-10,872.49,,0.0,70,DEFAULT
I00000006,C000001,6,2026-07-10,872.49,,0.0,40,DEFAULT
I00000007,C000001,7,2026-08-10,872.49,,0.0,9,DEFAULT
I00000008,C000002,1,2025-11-10,233.6,2025-11-13,233.6,3,LATE
I00000009,C000002,2,2025-12-10,233.6,2025-12-11,233.6,1,LATE
I00000010,C000002,3,2026-01-10,233.6,2026-01-12,233.6,2,LATE
I00000011,C000002,4,2026-02-10,233.6,2026-02-10,233.6,0,PAID
I00000012,C000002,5,2026-03-10,233.6,2026-04-09,233.6,30,LATE
I00000013,C000002,6,2026-04-10,233.6,2026-04-13,233.6,3,LATE
I00000014,C000002,7,2026-05-10,233.6,2026-05-10,233.6,0,PAID
I00000015,C000002,8,2026-06-10,233.6,2026-06-12,233.6,2,LATE
I00000016,C000002,9,2026-07-10,233.6,2026-07-10,233.6,0,PAID
I00000017,C000002,10,2026-08-10,233.6,2026-08-11,233.6,1,LATE
I00000018,C000003,1,2026-02-10,267.24,2026-02-13,267.24,3,LATE
I00000019,C000003,2,2026-03-10,267.24,2026-03-11,267.24,1,LATE
I00000020,C000003,3,2026-04-10,267.24,2026-04-10,267.24,0,PAID
I00000021,C000003,4,2026-05-10,267.24,2026-05-12,267.24,2,LATE
I00000022,C000003,5,2026-06-10,267.24,2026-06-12,267.24,2,LATE
I00000023,C000003,6,2026-07-10,267.24,2026-07-12,267.24,2,LATE
I00000024,C000003,7,2026-08-10,267.24,2026-08-12,267.24,2,LATE
I00000025,C000004,1,2026-06-10,760.14,2026-06-13,760.14,3,LATE
I00000026,C000004,2,2026-07-10,760.14,2026-07-11,760.14,1,LATE
I00000027,C000004,3,2026-08-10,760.14,2026-08-13,760.14,3,LATE
I00000028,C000005,1,2025-03-10,409.86,2025-03-10,409.86,0,PAID
I00000029,C000005,2,2025-04-10,409.86,2025-04-11,409.86,1,LATE
I00000030,C000005,3,2025-05-10,409.86,2025-05-13,409.86,3,LATE
I00000031,C000005,4,2025-06-10,409.86,2025-06-10,409.86,0,PAID
I00000032,C000005,5,2025-07-10,409.86,2025-07-10,409.86,0,PAID
I00000033,C000005,6,2025-08-10,409.86,2025-08-12,409.86,2,LATE
I00000034,C000005,7,2025-09-10,409.86,2025-09-11,409.86,1,LATE
I00000035,C000005,8,2025-10-10,409.86,2025-10-12,409.86,2,LATE
I00000036,C000005,9,2025-11-10,409.86,2025-11-12,409.86,2,LATE
I00000037,C000005,10,2025-12-10,409.86,2025-12-13,409.86,3,LATE
I00000038,C000005,11,2026-01-10,409.86,2026-01-11,409.86,1,LATE
I00000039,C000005,12,2026-02-10,409.86,2026-02-13,409.86,3,LATE
I00000040,C000005,13,2026-03-10,409.86,2026-03-10,409.86,0,PAID
