recovery_id,contract_id,recovery_date,recovery_amount,recovery_method,days_after_default
R00000001,C000001,2026-05-10,16143.09,Renegotiation,30
R00000002,C000001,2026-07-09,12107.32,Payment,90
R00000003,C000012,2026-03-12,730.49,Payment,30
R00000004,C000012,2026-04-11,608.74,Payment,60
R00000005,C000012,2026-06-10,456.55,Payment,120
R00000006,C000014,2026-04-10,11095.95,Renegotiation,90
R00000007,C000014,2026-07-09,8013.74,Settlement,180
R00000008,C000022,2026-02-09,1412.71,Payment,30
R00000009,C000024,2026-03-12,2253.73,Payment,30
R00000010,C000024,2026-05-11,1690.3,Payment,90
R00000011,C000024,2026-06-10,1408.58,Renegotiation,120
R00000012,C000025,2026-03-11,1522.45,Renegotiation,60
R00000013,C000025,2026-04-10,1370.21,Payment,90
R00000014,C000025,2026-07-09,989.59,Renegotiation,180
R00000015,C000029,2026-02-09,1778.64,Payment,30
R00000016,C000029,2026-04-10,1333.98,Payment,90
R00000017,C000030,2026-06-08,3894.06,Payment,90
R00000018,C000030,2026-07-08,3245.05,Payment,120
R00000019,C000034,2025-11-08,792.0,Payment,90
R00000020,C000034,2026-02-06,572.0,Payment,180
R00000021,C000039,2026-08-09,1774.59,Settlement,30
R00000022,C000049,2025-07-10,812.1,Renegotiation,30
R00000023,C000049,2025-08-09,676.75,Settlement,60
R00000024,C000049,2025-09-08,609.07,Renegotiation,90
R00000025,C000049,2025-10-08,507.56,Collection,120
R00000026,C000051,2025-04-11,1676.5,Settlement,60
R00000027,C000051,2025-05-11,1508.85,Payment,90
R00000028,C000051,2025-06-10,1257.37,Collection,120
R00000029,C000051,2026-02-05,838.25,Payment,360
R00000030,C000053,2026-04-11,1161.21,Collection,60
R00000031,C000053,2026-05-11,1045.09,Payment,90
R00000032,C000053,2026-06-10,870.91,Settlement,120
R00000033,C000056,2025-12-10,615.97,Collection,30
R00000034,C000056,2026-02-08,461.97,Settlement,90
R00000035,C000056,2026-03-10,384.98,Renegotiation,120
R00000036,C000061,2026-07-10,1146.37,Collection,30
R00000037,C000061,2026-08-09,955.31,Settlement,60
R00000038,C000063,2025-12-10,1630.75,Renegotiation,30
R00000039,C000063,2026-01-09,1358.96,Collection,60
R00000040,C000065,2026-03-11,434.91,Renegotiation,60
R00000041,C000065,2026-04-10,391.42,Settlement,90
R00000042,C000065,2026-05-10,326.18,Settlement,120
R00000043,C000068,2025-08-09,718.43,Payment,30
R00000044,C000068,2025-09-08,598.69,Collection,60
R00000045,C000068,2025-10-08,538.82,Payment,90
R00000046,C000068,2026-07-05,299.34,Payment,360
R00000047,C000069,2025-09-09,1298.51,Payment,30
R00000048,C000069,2025-12-08,811.57,Settlement,120
R00000049,C000070,2026-03-11,595.68,Renegotiation,60
R00000050,C000070,2026-04-10,536.11,Collection,90
R00000051,C000070,2026-05-10,446.76,Payment,120
R00000052,C000072,2026-04-11,2582.51,Collection,60
R00000053,C000072,2026-05-11,2324.26,Renegotiation,90
R00000054,C000072,2026-08-09,1678.63,Collection,180
R00000055,C000074,2026-03-12,13365.85,Payment,30
R00000056,C000074,2026-08-09,7239.83,Settlement,180
R00000057,C000080,2026-02-08,2247.6,Payment,90
R00000058,C000081,2025-09-08,6497.45,Payment,60
R00000059,C000081,2026-07-05,3248.73,Payment,360
R00000060,C000083,2025-10-10,5438.19,Payment,30
R00000061,C000083,2025-11-09,4531.82,Payment,60
R00000062,C000083,2025-12-09,4078.64,Payment,90
R00000063,C000083,2026-01-08,3398.87,Payment,120
R00000064,C000084,2026-01-09,1232.34,Renegotiation,30
R00000065,C000084,2026-02-08,1026.95,Settlement,60
R00000066,C000084,2026-03-10,924.25,Renegotiation,90
R00000067,C000085,2025-10-10,1240.25,Collection,30
R00000068,C000085,2025-12-09,930.19,Renegotiation,90
R00000069,C000085,2026-03-09,671.8,Renegotiation,180
R00000070,C000086,2026-07-10,41464.5,Collection,30
R00000071,C000087,2026-03-10,1233.84,Renegotiation,90
R00000072,C000087,2026-04-09,1028.2,Payment,120
R00000073,C000090,2025-11-09,8062.79,Payment,60
R00000074,C000090,2025-12-09,7256.51,Payment,90
R00000075,C000090,2026-03-09,5240.81,Renegotiation,180
R00000076,C000091,2026-08-09,9875.12,Payment,30
R00000077,C000093,2026-07-09,59.74,Payment,60
R00000078,C000095,2026-07-10,1566.49,Payment,30
R00000079,C000097,2025-06-09,725.91,Settlement,30
R00000080,C000097,2025-08-08,544.43,Settlement,90
R00000081,C000097,2025-09-07,453.69,Renegotiation,120
R00000082,C000097,2026-05-05,302.46,Collection,360
R00000083,C000098,2026-07-10,12747.41,Renegotiation,30
